feature,label,n,mean,standard_deviation,median,q1,q3
affect_anger,genuine,261,0.4082183908045977,0.06573509049218625,0.438,0.375,0.438
affect_anger,misleading,261,0.42937547892720307,0.07439383770657387,0.438,0.375,0.479
affect_fear,genuine,261,0.3334712643678161,0.06720711485008227,0.333,0.292,0.375
affect_fear,misleading,261,0.354007662835249,0.08120837358952039,0.333,0.292,0.396
affect_joy,genuine,261,0.2961072796934866,0.10980659564344139,0.292,0.22,0.333
affect_joy,misleading,261,0.28709578544061304,0.11066388135256834,0.271,0.208,0.333
affect_sadness,genuine,261,0.3817969348659004,0.07788685673531369,0.375,0.333,0.438
affect_sadness,misleading,261,0.3896053639846743,0.07448619780485978,0.375,0.333,0.438
affect_valence,genuine,261,0.46346360153256705,0.12057067675489311,0.466,0.371,0.53
affect_valence,misleading,261,0.45170498084291194,0.11962271271866688,0.433,0.36,0.532
