split,broad_topic,binary_label_name,count
test,business_and_markets,misleading,1
test,labour_and_income,genuine,28
test,labour_and_income,misleading,23
test,macroeconomy,genuine,1
test,macroeconomy,misleading,7
test,public_finance,genuine,32
test,public_finance,misleading,29
test,social_welfare,genuine,1
test,social_welfare,misleading,3
test,taxation,genuine,32
test,taxation,misleading,31
train,banking_and_credit,genuine,11
train,banking_and_credit,misleading,12
train,business_and_markets,genuine,9
train,business_and_markets,misleading,9
train,labour_and_income,genuine,176
train,labour_and_income,misleading,174
train,macroeconomy,genuine,44
train,macroeconomy,misleading,44
train,other_finance,genuine,1
train,other_finance,misleading,1
train,public_finance,genuine,224
train,public_finance,misleading,218
train,social_welfare,genuine,19
train,social_welfare,misleading,35
train,taxation,genuine,326
train,taxation,misleading,317
train,trade,genuine,6
train,trade,misleading,6
validation,business_and_markets,misleading,1
validation,labour_and_income,genuine,27
validation,labour_and_income,misleading,22
validation,macroeconomy,genuine,7
validation,macroeconomy,misleading,14
validation,public_finance,genuine,37
validation,public_finance,misleading,29
validation,social_welfare,genuine,1
validation,social_welfare,misleading,4
validation,taxation,genuine,42
validation,taxation,misleading,44
