dataset,feature,pairs,mean_difference_misleading_minus_genuine,rank_biserial_correlation,holm_adjusted_p_value,significant_after_holm_0_05,feature_label
FACTors,affect_anger,261,0.0211570881226053,0.2915887850467289,0.0010729029020676,True,Anger
LIAR2-Finance,affect_anger,1024,0.020435546875,0.2493202870189171,8.003503365654403e-10,True,Anger
FACTors,affect_fear,261,0.0205363984674329,0.2369875080076874,0.0085770415373853,True,Fear
LIAR2-Finance,affect_fear,1024,0.020609375,0.2486377827710728,8.003503365654403e-10,True,Fear
FACTors,affect_joy,261,-0.0090114942528735,-0.0549941495585576,0.6497388081696039,False,Joy
LIAR2-Finance,affect_joy,1024,-0.0226767578125,-0.1995732829667326,1.803849508786644e-07,True,Joy
FACTors,affect_sadness,261,0.0078084291187739,0.0931078377886888,0.6497388081696039,False,Sadness
LIAR2-Finance,affect_sadness,1024,0.010294921875,0.1134198666223962,0.0035209395355741,True,Sadness
FACTors,affect_valence,261,-0.0117586206896551,-0.0828149172179981,0.6497388081696039,False,Valence
LIAR2-Finance,affect_valence,1024,-0.0268232421875,-0.2077572907939415,5.927270530213263e-08,True,Valence
