dataset,group,feature,n_examples,mean,median,std,minimum,maximum
liar2_finance,training_genuine,affect_anger,1024,0.4112607421875,0.438,0.06888454492594037,0.188,0.625
liar2_finance,training_genuine,affect_fear,1024,0.327451171875,0.33,0.06832407651527714,0.16,0.604
liar2_finance,training_genuine,affect_joy,1024,0.28301757812500006,0.25,0.1029503087130826,0.06,0.66
liar2_finance,training_genuine,affect_sadness,1024,0.3859140625,0.375,0.0795394148314545,0.208,0.667
liar2_finance,training_genuine,affect_valence,1024,0.4553935546875,0.4365,0.11490909491972223,0.23,0.833
liar2_finance,training_misleading,affect_anger,1024,0.4316962890625,0.438,0.0724948277111306,0.208,0.625
liar2_finance,training_misleading,affect_fear,1024,0.348060546875,0.333,0.07827089239543061,0.104,0.604
liar2_finance,training_misleading,affect_joy,1024,0.26034082031250005,0.231,0.10157188851917565,0.08,0.72
liar2_finance,training_misleading,affect_sadness,1024,0.396208984375,0.396,0.07798025464632391,0.208,0.667
liar2_finance,training_misleading,affect_valence,1024,0.4285703125,0.3865,0.11115348708257351,0.21,0.903
liar2_finance,rfc_persistent_failure,affect_anger,95,0.32267368421052633,0.333,0.05198044683631982,0.208,0.438
liar2_finance,rfc_persistent_failure,affect_fear,95,0.2987684210526316,0.292,0.037400492837684374,0.233,0.396
liar2_finance,rfc_persistent_failure,affect_joy,95,0.4364842105263158,0.438,0.07646774638631647,0.208,0.604
liar2_finance,rfc_persistent_failure,affect_sadness,95,0.31954736842105264,0.292,0.05374442443542154,0.208,0.438
liar2_finance,rfc_persistent_failure,affect_valence,95,0.6685157894736843,0.685,0.08606539611025317,0.333,0.85
liar2_finance,rfc_jointly_detected,affect_anger,298,0.37402684563758387,0.375,0.04573756883363072,0.025,0.479
liar2_finance,rfc_jointly_detected,affect_fear,298,0.36451342281879195,0.362,0.06754991785126668,0.231,0.583
liar2_finance,rfc_jointly_detected,affect_joy,298,0.3410771812080537,0.334,0.1072322320888718,0.1,0.66
liar2_finance,rfc_jointly_detected,affect_sadness,298,0.38299664429530206,0.375,0.07542769179179508,0.233,0.604
liar2_finance,rfc_jointly_detected,affect_valence,298,0.5214798657718122,0.5,0.15160757400474695,0.23,0.833
factors_finance,training_genuine,affect_anger,261,0.4082183908045977,0.438,0.06573509049218625,0.208,0.667
factors_finance,training_genuine,affect_fear,261,0.3334712643678161,0.333,0.06720711485008227,0.167,0.604
factors_finance,training_genuine,affect_joy,261,0.2961072796934866,0.292,0.10980659564344139,0.06,0.72
factors_finance,training_genuine,affect_sadness,261,0.3817969348659004,0.375,0.07788685673531369,0.208,0.688
factors_finance,training_genuine,affect_valence,261,0.46346360153256705,0.466,0.12057067675489311,0.23,0.85
factors_finance,training_misleading,affect_anger,261,0.42937547892720307,0.438,0.07439383770657387,0.271,0.604
factors_finance,training_misleading,affect_fear,261,0.354007662835249,0.333,0.08120837358952039,0.188,0.604
factors_finance,training_misleading,affect_joy,261,0.28709578544061304,0.271,0.11066388135256834,0.08,0.68
factors_finance,training_misleading,affect_sadness,261,0.3896053639846743,0.375,0.07448619780485978,0.208,0.604
factors_finance,training_misleading,affect_valence,261,0.45170498084291194,0.433,0.11962271271866688,0.232,0.783
factors_finance,rfc_persistent_failure,affect_anger,70,0.31834285714285715,0.333,0.04696557040335642,0.231,0.396
factors_finance,rfc_persistent_failure,affect_fear,70,0.2974428571428571,0.292,0.04036199809559917,0.23,0.431
factors_finance,rfc_persistent_failure,affect_joy,70,0.35024285714285713,0.38,0.09845508587039783,0.14,0.58
factors_finance,rfc_persistent_failure,affect_sadness,70,0.3381285714285715,0.333,0.06098275390052441,0.234,0.479
factors_finance,rfc_persistent_failure,affect_valence,70,0.5609571428571429,0.581,0.14186199005936187,0.259,0.783
factors_finance,rfc_jointly_detected,affect_anger,295,0.37899322033898303,0.375,0.037295473382600176,0.233,0.479
factors_finance,rfc_jointly_detected,affect_fear,295,0.3691627118644068,0.375,0.06443343318766018,0.25,0.583
factors_finance,rfc_jointly_detected,affect_joy,295,0.35227796610169493,0.375,0.11030352691673533,0.1,0.62
factors_finance,rfc_jointly_detected,affect_sadness,295,0.3808135593220339,0.396,0.07192760782829066,0.232,0.583
factors_finance,rfc_jointly_detected,affect_valence,295,0.537349152542373,0.538,0.1532372558792914,0.232,0.833
