dataset,repetition,seed,model,ngram_range,min_df,C,affect_weight
liar2_finance,1,11,text_only,1-2,2,1.0,
liar2_finance,1,11,emotion_aware,1-2,2,1.0,0.05
liar2_finance,2,22,text_only,1-2,1,10.0,
liar2_finance,2,22,emotion_aware,1-2,1,1.0,0.05
liar2_finance,3,33,text_only,1-2,1,1.0,
liar2_finance,3,33,emotion_aware,1-2,1,1.0,0.1
liar2_finance,4,44,text_only,1-2,1,10.0,
liar2_finance,4,44,emotion_aware,1-2,1,10.0,0.1
liar2_finance,5,55,text_only,1-2,1,1.0,
liar2_finance,5,55,emotion_aware,1-2,1,10.0,0.05
liar2_finance,6,66,text_only,1-2,1,10.0,
liar2_finance,6,66,emotion_aware,1-2,2,1.0,0.25
liar2_finance,7,77,text_only,1-2,1,10.0,
liar2_finance,7,77,emotion_aware,1-2,1,1.0,0.05
liar2_finance,8,88,text_only,1-2,1,10.0,
liar2_finance,8,88,emotion_aware,1-2,1,10.0,0.1
liar2_finance,9,99,text_only,1-2,1,1.0,
liar2_finance,9,99,emotion_aware,1-1,1,1.0,0.1
liar2_finance,10,110,text_only,1-2,2,1.0,
liar2_finance,10,110,emotion_aware,1-2,1,1.0,0.25
factors_finance,1,11,text_only,1-2,1,10.0,
factors_finance,1,11,emotion_aware,1-2,1,10.0,0.05
factors_finance,2,22,text_only,1-1,2,1.0,
factors_finance,2,22,emotion_aware,1-1,2,1.0,0.05
factors_finance,3,33,text_only,1-2,1,1.0,
factors_finance,3,33,emotion_aware,1-2,1,1.0,0.05
factors_finance,4,44,text_only,1-2,1,0.1,
factors_finance,4,44,emotion_aware,1-2,2,1.0,0.25
factors_finance,5,55,text_only,1-1,1,1.0,
factors_finance,5,55,emotion_aware,1-2,1,10.0,1.0
factors_finance,6,66,text_only,1-2,1,0.1,
factors_finance,6,66,emotion_aware,1-2,2,1.0,0.1
factors_finance,7,77,text_only,1-2,2,0.1,
factors_finance,7,77,emotion_aware,1-1,1,1.0,0.25
factors_finance,8,88,text_only,1-2,1,0.1,
factors_finance,8,88,emotion_aware,1-2,1,10.0,0.25
factors_finance,9,99,text_only,1-1,2,1.0,
factors_finance,9,99,emotion_aware,1-2,2,10.0,0.05
factors_finance,10,110,text_only,1-1,1,0.1,
factors_finance,10,110,emotion_aware,1-2,2,0.1,0.05
